skupina_diagnoz;kod_hlavnej_diagnozy;nazov_diagnozy
Reumatologické ochorenia;m0876;Juvenilná artritída s vaskulitídou, s postihnutím kĺbov v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m0877;Juvenilná artritída s vaskulitídou, s postihnutím kĺbov v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m0878;Juvenilná artritída s vaskulitídou, s postihnutím kĺbov na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m0879;Juvenilná artritída s vaskulitídou, s postihnutím kĺbov, miesto bližšie neurčené
Reumatologické ochorenia;m0880;Iná juvenilná artritída na viacerých miestach
Reumatologické ochorenia;m0881;Iná juvenilná artritída v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m0882;Iná juvenilná artritída nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m0883;Iná juvenilná artritída predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m0884;Iná juvenilná artritída ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m0885;Iná juvenilná artritída panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m0886;Iná juvenilná artritída predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m0887;Iná juvenilná artritída členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m0888;Iná juvenilná artritída na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m0889;Iná juvenilná artritída, miesto bližšie neurčené
Reumatologické ochorenia;m0890;Juvenilná artritída, bližšie neurčená, na viacerých miestach
Reumatologické ochorenia;m0891;Juvenilná artritída, bližšie neurčená, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m0892;Juvenilná artritída, bližšie neurčená, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m0893;Juvenilná artritída, bližšie neurčená, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m0894;Juvenilná artritída, bližšie neurčená, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m0895;Juvenilná artritída, bližšie neurčená, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m0896;Juvenilná artritída, bližšie neurčená, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m0897;Juvenilná artritída, bližšie neurčená, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m0898;Juvenilná artritída, bližšie neurčená, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m0899;Juvenilná artritída, bližšie neurčená, miesto bližšie neurčené
Reumatologické ochorenia;m1000;Idiopatická dna na viacerých miestach
Reumatologické ochorenia;m1001;Idiopatická dna v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1002;Idiopatická dna nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1003;Idiopatická dna predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1004;Idiopatická dna ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1005;Idiopatická dna panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1006;Idiopatická dna predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1007;Idiopatická dna členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1008;Idiopatická dna na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1009;Idiopatická dna, miesto bližšie neurčené
Reumatologické ochorenia;m1020;Dna zapríčinená liekmi, na viacerých miestach
Reumatologické ochorenia;m1021;Dna zapríčinená liekmi, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1022;Dna zapríčinená liekmi, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1023;Dna zapríčinená liekmi, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1024;Dna zapríčinená liekmi, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1025;Dna zapríčinená liekmiv v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1026;Dna zapríčinená liekmi, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1027;Dna zapríčinená liekmi, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1028;Dna zapríčinená liekmi, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1029;Dna zapríčinená liekmi, miesto bližšie neurčené
Reumatologické ochorenia;m1040;Iná sekundárna dna na viacerých miestach
Reumatologické ochorenia;m1041;Iná sekundárna dna v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1042;Iná sekundárna dna nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1043;Iná sekundárna dna predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1044;Iná sekundárna dna ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1045;Iná sekundárna dna panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1046;Iná sekundárna dna predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1047;Iná sekundárna dna členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1048;Iná sekundárna dna na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1049;Iná sekundárna dna, miesto bližšie neurčené
Reumatologické ochorenia;m1090;Dna, bližšie neurčená, na viacerých miestach
Reumatologické ochorenia;m1091;Dna, bližšie neurčená, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1092;Dna, bližšie neurčená, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1093;Dna, bližšie neurčená, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1094;Dna, bližšie neurčená, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1095;Dna, bližšie neurčená, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1096;Dna, bližšie neurčená, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1097;Dna, bližšie neurčená, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1098;Dna, bližšie neurčená, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1099;Dna, bližšie neurčená, miesto bližšie neurčené
Reumatologické ochorenia;m1100;Apatitová artropatia na viacerých miestach
Reumatologické ochorenia;m1101;Apatitová artropatia v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1102;Apatitová artropatia nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1103;Apatitová artropatia predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1104;Apatitová artropatia ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1105;Apatitová artropatia panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1106;Apatitová artropatia predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1107;Apatitová artropatia členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1108;Apatitová artropatia na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1109;Apatitová artropatia, miesto bližšie neurčené
Reumatologické ochorenia;m1110;Familiárna chondrokalcinóza na viacerých miestach
Reumatologické ochorenia;m1111;Familiárna chondrokalcinóza v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1112;Familiárna chondrokalcinóza nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1113;Familiárna chondrokalcinóza predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1114;Familiárna chondrokalcinóza ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1115;Familiárna chondrokalcinóza panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1116;Familiárna chondrokalcinóza predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1117;Familiárna chondrokalcinóza členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1118;Familiárna chondrokalcinóza na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1119;Familiárna chondrokalcinóza, miesto bližšie neurčené
Reumatologické ochorenia;m1120;Iná chondrokalcinóza na viacerých miestach
Reumatologické ochorenia;m1121;Iná chondrokalcinóza v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1122;Iná chondrokalcinóza nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1123;Iná chondrokalcinóza predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1124;Iná chondrokalcinóza ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1125;Iná chondrokalcinóza panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1126;Iná chondrokalcinóza predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1127;Iná chondrokalcinóza členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1128;Iná chondrokalcinóza na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1129;Iná chondrokalcinóza, miesto bližšie neurčené
Reumatologické ochorenia;m1180;Iné kryštálové artropatie, bližšie určené, na viacerých miestach
Reumatologické ochorenia;m1181;Iné kryštálové artropatie, bližšie určené, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1182;Iné kryštálové artropatie, bližšie určené, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1183;Iné kryštálové artropatie, bližšie určené, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1184;Iné kryštálové artropatie, bližšie určené, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1185;Iné kryštálové artropatie, bližšie určené, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1186;Iné kryštálové artropatie, bližšie určené, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1187;Iné kryštálové artropatie, bližšie určené, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1188;Iné kryštálové artropatie, bližšie určené, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1189;Iné kryštálové artropatie, bližšie určené, miesto bližšie neurčené
Reumatologické ochorenia;m1190;Kryštálová artropatia, bližšie neurčená, na viacerých miestach
Reumatologické ochorenia;m1191;Kryštálová artropatia, bližšie neurčená, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1192;Kryštálová artropatia, bližšie neurčená, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1193;Kryštálová artropatia, bližšie neurčená, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1194;Kryštálová artropatia, bližšie neurčená, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1195;Kryštálová artropatia, bližšie neurčená, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1196;Kryštálová artropatia, bližšie neurčená, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1197;Kryštálová artropatia, bližšie neurčená, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1198;Kryštálová artropatia, bližšie neurčená, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1199;Kryštálová artropatia, bližšie neurčená, miesto bližšie neurčené
Reumatologické ochorenia;m1200;Chronická poreumatická artritída na viacerých miestach
Reumatologické ochorenia;m1201;Chronická poreumatická artritída v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1202;Chronická poreumatická artritída nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1203;Chronická poreumatická artritída predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1204;Chronická poreumatická artritída ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1205;Chronická poreumatická artritída panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1206;Chronická poreumatická artritída predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1207;Chronická poreumatická artritída členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1208;Chronická poreumatická artritída na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1209;Chronická poreumatická artritída, miesto bližšie neurčené
Reumatologické ochorenia;m1210;Kaschinova-Beckova choroba s postihnutím kĺbov na viacerých miestach
Reumatologické ochorenia;m1211;Kaschinova-Beckova choroba s postihnutím kĺbov pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1212;Kaschinova-Beckova choroba s postihnutím kĺbov nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1213;Kaschinova-Beckova choroba s postihnutím kĺbov predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1214;Kaschinova-Beckova choroba s postihnutím kĺbov ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1215;Kaschinova-Beckova choroba s postihnutím kĺbov oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1216;Kaschinova-Beckova choroba s postihnutím kĺbov predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1217;Kaschinova-Beckova choroba s postihnutím kĺbov členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1218;Kaschinova-Beckova choroba s postihnutím kĺbov na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1219;Kaschinova-Beckova choroba s postihnutím kĺbov, miesto bližšie neurčené
Reumatologické ochorenia;m1220;Vilonodulárna synovitída (pigmentová) na viacerých miestach
Reumatologické ochorenia;m1221;Vilonodulárna synovitída (pigmentová) v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1222;Vilonodulárna synovitída (pigmentová) nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1223;Vilonodulárna synovitída (pigmentová) predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1224;Vilonodulárna synovitída (pigmentová) ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1225;Vilonodulárna synovitída (pigmentová) panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1226;Vilonodulárna synovitída (pigmentová) predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1227;Vilonodulárna synovitída (pigmentová) členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1228;Vilonodulárna synovitída (pigmentová) na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1229;Vilonodulárna synovitída (pigmentová), miesto bližšie neurčené
Reumatologické ochorenia;m1230;Palindromický reumatizmus na viacerých miestach
Reumatologické ochorenia;m1231;Palindromický reumatizmus v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1232;Palindromický reumatizmus nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1233;Palindromický reumatizmus predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1234;Palindromický reumatizmus ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1235;Palindromický reumatizmus panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1236;Palindromický reumatizmus predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1237;Palindromický reumatizmus členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1238;Palindromický reumatizmus na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1239;Palindromický reumatizmus, miesto bližšie neurčené
Reumatologické ochorenia;m1240;Intermitentná hydrartróza na viacerých miestach
Reumatologické ochorenia;m1241;Intermitentná hydrartróza v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1242;Intermitentná hydrartróza nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1243;Intermitentná hydrartróza predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1244;Intermitentná hydrartróza ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1245;Intermitentná hydrartróza panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1246;Intermitentná hydrartróza predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1247;Intermitentná hydrartróza členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1248;Intermitentná hydrartróza na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1249;Intermitentná hydrartróza, miesto bližšie neurčené
Reumatologické ochorenia;m1250;Úrazová artropatia na viacerých miestach
Reumatologické ochorenia;m1251;Úrazová artropatia v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1252;Úrazová artropatia nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1253;Úrazová artropatia predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1254;Úrazová artropatia ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1255;Úrazová artropatia panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1256;Úrazová artropatia predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1257;Úrazová artropatia členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1258;Úrazová artropatia na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1259;Úrazová artropatia, miesto bližšie neurčené
Reumatologické ochorenia;m1280;Iná artropatia, bližšie určená, nezatriedená inde, s postihnutím kĺbov na viacerých miestach
Reumatologické ochorenia;m1281;Iná artropatia, bližšie určená, nezatriedená inde, s postihnutím kĺbov v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1282;Iná artropatia, bližšie určená, nezatriedená inde, s postihnutím kĺbov nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1283;Iná artropatia, bližšie určená, nezatriedená inde, s postihnutím kĺbov predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1284;Iná artropatia, bližšie určená, nezatriedená inde, s postihnutím kĺbov ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1285;Iná artropatia, bližšie určená, nezatriedená inde, s postihnutím kĺbov oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1286;Iná artropatia, bližšie určená, nezatriedená inde, s postihnutím kĺbov predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1287;Iná bližšie určená artropatia, nezatriedená inde, s postihnutím kĺbov členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1288;Iná artropatia, bližšie určená, nezatriedená inde, s postihnutím kĺbov na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1289;Iná artropatia, bližšie určená, nezatriedená inde, s postihnutím kĺbov, miesto bližšie neurčené
Reumatologické ochorenia;m130;Polyartritída, bližšie neurčená
Reumatologické ochorenia;m1311;Monoartritída, nezatriedená inde, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1312;Monoartritída, nezatriedená inde, v oblasti nadlaktia (ramenná kosť, lakťový kĺb),
Reumatologické ochorenia;m1313;Monoartritída, nezatriedená inde, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb),
Reumatologické ochorenia;m1314;Monoartritída, nezatriedená inde: nezatriedená inde, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami),
Reumatologické ochorenia;m1315;Monoartritída, nezatriedená inde, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb),
Reumatologické ochorenia;m1316;Monoartritída, nezatriedená inde, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb),
Reumatologické ochorenia;m1317;Monoartritída, nezatriedená inde, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy),
Reumatologické ochorenia;m1318;Monoartritída, nezatriedená inde, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica),
Reumatologické ochorenia;m1319;Monoartritída, nezatriedená inde, miesto bližšie neurčené,
Reumatologické ochorenia;m1380;Iná artritída, bližšie určená, na viacerých miestach
Reumatologické ochorenia;m1381;Iná artritída, bližšie určená, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1382;Iná artritída, bližšie určená, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1383;Iná artritída, bližšie určená: predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1384;Iná artritída, bližšie určená, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1385;Iná artritída, bližšie určená, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1386;Iná artritída, bližšie určená, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1387;Iná artritída, bližšie určená, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1388;Iná artritída, bližšie určená, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1389;Iná artritída, bližšie určená, miesto bližšie neurčené
Reumatologické ochorenia;m1390;Artritída, bližšie neurčená, na viacerých miestach
Reumatologické ochorenia;m1391;Artritída, bližšie neurčená:v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Reumatologické ochorenia;m1392;Artritída, bližšie neurčená, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Reumatologické ochorenia;m1393;Artritída, bližšie neurčená, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Reumatologické ochorenia;m1394;Artritída, bližšie neurčená, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Reumatologické ochorenia;m1395;Artritída, bližšie neurčená, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Reumatologické ochorenia;m1396;Artritída, bližšie neurčená, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)
Reumatologické ochorenia;m1397;Artritída, bližšie neurčená, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Reumatologické ochorenia;m1398;Artritída, bližšie neurčená, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Reumatologické ochorenia;m1399;Artritída, bližšie neurčená, miesto bližšie neurčené
Reumatologické ochorenia;m300;Polyarteriitis nodosa
Reumatologické ochorenia;m301;Polyarteritída s postihnutím pľúc
