kod_vykonu;nazov_vykonu;nazov_ms;kod_ms;kod_markera;hodnota_markera
5t6413;Predĺženie dorzálnej spondylodézy s použitím konektora, 3 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6414;Predĺženie dorzálnej spondylodézy s použitím konektora, 4 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6415;Predĺženie dorzálnej spondylodézy s použitím konektora, 5 segmentov;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6416;Predĺženie dorzálnej spondylodézy s použitím konektora, 6 a viac segmentov;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6421;Ventrálna spondylodéza, 1 segment;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6422;Ventrálna spondylodéza, 2 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6423;Ventrálna spondylodéza, 3 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6424;Ventrálna spondylodéza, 4 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6425;Ventrálna spondylodéza, 5 segmentov;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6426;Ventrálna spondylodéza, 6 a viac segmentov;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6431;Dorzálna a ventrálna kombinovaná spondylodéza, 1 segment;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6432;Dorzálna a ventrálna kombinovaná spondylodéza, 2 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6433;Dorzálna a ventrálna kombinovaná spondylodéza, 3 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6434;Dorzálna a ventrálna kombinovaná spondylodéza, 4 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6435;Dorzálna a ventrálna kombinovaná spondylodéza, 5 segmentov;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6436;Dorzálna a ventrálna kombinovaná spondylodéza, 6 a viac segmentov;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6501;Náhrada tela stavca implantátom, 1 stavec;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6502;Náhrada tela stavca implantátom, 2 stavce;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t668b1;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí s potrebou opakovanej otvorenej redistrakcie , 1 segment;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t668b2;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí s potrebou opakovanej otvorenej redistrakcie , 2 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t668b3;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí s potrebou opakovanej otvorenej redistrakcie , 3 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t668b4;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí s potrebou opakovanej otvorenej redistrakcie , 4 a viac segmentov;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t668c1;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí bez potreby opakovanej otvorenej redistrakcie, 1 segment;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t668c2;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí bez potreby opakovanej otvorenej redistrakcie, 2 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t668c3;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí bez potreby opakovanej otvorenej redistrakcie, 3 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t668c4;Osteosyntéza chrbtice dynamickým fixátor systémom skrutiek a tyčí bez potreby opakovanej otvorenej redistrakcie, 4 a viac segmentov;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6721;Komplexná rekonštrukcia  na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 1 skoba;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6722;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 2 skoby;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6723;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 3 skoby;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6724;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 4 skoby;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6725;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 5 skôb;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6726;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 6 skôb;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6727;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 7 skôb;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6728;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 8 skôb;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6729;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 9 skôb;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t672a;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 10 skôb;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t672b;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 11 skôb;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t672c;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 12 skôb;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t672d;Komplexná rekonštrukcia na chrbtici na usmernenie rastu skobami s pamäťovým efektom, 13 skôb;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6731;Komplexná rekonštrukcia na chrbtici na usmernenie rastu, tethering - systém skrutiek a šnúrok, 1 segment;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6732;Komplexná rekonštrukcia na chrbtici na usmernenie rastu, tethering - systém skrutiek a šnúrok, 2 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6733;Komplexná rekonštrukcia na chrbtici na usmernenie rastu, tethering - systém skrutiek a šnúrok, 3 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6734;Komplexná rekonštrukcia na chrbtici na usmernenie rastu, tethering - systém skrutiek a šnúrok, 4 segmenty;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6735;Komplexná rekonštrukcia na chrbtici na usmernenie rastu, tethering - systém skrutiek a šnúrok, 5 segmentov;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6736;Komplexná rekonštrukcia na chrbtici na usmernenie rastu, tethering - systém skrutiek a šnúrok, 6 segmentov;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6737;Komplexná rekonštrukcia na chrbtici na usmernenie rastu, tethering - systém skrutiek a šnúrok, 7 a viac segmentov;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6741;Komplexná rekonštrukcia  na chrbtici s dorzálnou fúziou stavca, jednostranná;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t6742;Komplexná rekonštrukcia na chrbtici s dorzálnou fúziou stavca, obojstranná;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t69x2;Odstránenie osteosyntetického materiálu z chrbtice;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t69x4;Revízia po operácii chrbtice;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5t69xx;Iné operácie na chrbtici, ostatné;Chirurgická liečba poúrazových deformít v detskom veku;S55-05;mSTA;C0-CO
5a901a;Prístup ku kraniocervikálnemu spojeniu, transorálne;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a901b;Prístup ku kraniocervikálnemu spojeniu, dorzálne;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a901c;Prístup ku kraniocervikálnemu spojeniu, laterálne;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a90201;Dorzálny prístup ku krčnej chrbtici, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a90202;Dorzálny prístup ku krčnej chrbtici, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a90203;Dorzálny prístup ku krčnej chrbtici, 3 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a90211;Laminotómia krčnej chrbtice, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a90212;Laminotómia krčnej chrbtice, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a90213;Laminotómia krčnej chrbtice, 3 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a90221;Hemilaminektómia krčnej chrbtice, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a90222;Hemilaminektómia krčnej chrbtice, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a90223;Hemilaminektómia krčnej chrbtice, 3 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a90231;Laminektómia krčnej chrbtice, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a90232;Laminektómia krčnej chrbtice, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a90233;Laminektómia krčnej chrbtice, 3 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a902x;Iný prístup ku krčnej chrbtici;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6211;Parciálna excízia tela stavca chrbtice, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6212;Parciálna excízia tela stavca chrbtice, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6213;Parciálna excízia tela stavca chrbtice, 3 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6214;Parciálna excízia tela stavca chrbtice, 4 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t621a;Parciálna resekcia  hemivertebry;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t621b;Excízia kostného a kĺbneho tkaniva chrbtice dentis epistrophei;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6231;Parciálna artrektómia, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6232;Parciálna artrektómia, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6233;Parciálna artrektómia, 3 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6234;Parciálna artrektómia, 4 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6241;Totálna artrektómia, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6242;Totálna artrektómia, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6243;Totálna artrektómia, 3 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6244;Totálna artrektómia, 4 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6251;Foraminotómia, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6252;Foraminotómia, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6253;Foraminotómia, 3 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6254;Foraminotómia, 4 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6261;Excízia z kostného a kĺbneho tkaniva stavcového oblúka, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6262;Excízia z kostného a kĺbneho tkaniva stavcového oblúka, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6263;Excízia z kostného a kĺbneho tkaniva stavcového oblúka, 3 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6264;Excízia z kostného a kĺbneho tkaniva stavcového oblúka, 4 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6271;Excízia z kostného a kĺbneho tkaniva stavcového oblúka a naliehajúcich štruktúr, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6272;Excízia z kostného a kĺbneho tkaniva stavcového oblúka a naliehajúcich štruktúr, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6273;Excízia z kostného a kĺbneho tkaniva stavcového oblúka a naliehajúcich štruktúr, 3 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6274;Excízia z kostného a kĺbneho tkaniva stavcového oblúka a naliehajúcich štruktúr, 4 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t62x1;Excízia z kostného a kĺbneho tkaniva chrbtice, ostatné, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t62x2;Excízia z kostného a kĺbneho tkaniva chrbtice, ostatné, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t62x3;Excízia z kostného a kĺbneho tkaniva chrbtice, ostatné, 3 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t62x4;Excízia z kostného a kĺbneho tkaniva chrbtice, ostatné, 4 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6300;Kostná náhrada na chrbtici, použitie kostného materiálu z kolagénnych vlákien bez obohatenia rastovými bunkami kosti;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6301;Kostná náhrada na chrbtici, použitie kostného materiálu z kolagénnych vlákien s obohatením rastovými bunkami kosti;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6310;Kostná náhrada na chrbtici, použite keramického kostného materiálu bez obohatenia rastovými bunkami kosti;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6311;Kostná náhrada na chrbtici, použite keramického kostného materiálu s obohatením rastovými bunkami kosti;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6320;Kostná náhrada na chrbtici, použite humánnej demineralizovanej kostnej matrix;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6321;Kostná náhrada na chrbtici, použite autológnej spongiózy (štepu) alebo kortikospongiózneho štepu;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6322;Kostná náhrada na chrbtici, použitie alogénneho kostného transplantátu;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6323;Kostná náhrada na chrbtici, použitie xenogénneho kostného transplantátu;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t63x;Kostná náhrada na chrbtici, ostatné;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6601;Osteosyntéza chrbtice drôtovou serklážou, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6602;Osteosyntéza chrbtice drôtovou serklážou, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6603;Osteosyntéza chrbtice drôtovou serklážou, 3 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6604;Osteosyntéza chrbtice drôtovou serklážou, 4 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6611;Osteosyntéza chrbtice skrutkou, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6612;Osteosyntéza chrbtice skrutkou, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6613;Osteosyntéza chrbtice skrutkou, 3 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6614;Osteosyntéza chrbtice skrutkou, 4 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6631;Osteosyntéza chrbtice ventrálnym systémom skrutiek a dláh, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6632;Osteosyntéza chrbtice ventrálnym systémom skrutiek a dláh, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6633;Osteosyntéza chrbtice ventrálnym systémom skrutiek a dláh, 3 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6634;Osteosyntéza chrbtice ventrálnym systémom skrutiek a dláh, 4 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6641;Osteosyntéza chrbtice dorzálnym systémom skrutiek a dláh, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6642;Osteosyntéza chrbtice dorzálnym systémom skrutiek a dláh, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6643;Osteosyntéza chrbtice dorzálnym systémom skrutiek a dláh, 3 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6644;Osteosyntéza chrbtice dorzálnym systémom skrutiek a dláh, 4 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6651;Osteosyntéza chrbtice systémom skrutiek a tyčí, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6652;Osteosyntéza chrbtice systémom skrutiek a tyčí, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6653;Osteosyntéza chrbtice systémom skrutiek a tyčí, 3 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t6654;Osteosyntéza chrbtice systémom skrutiek a tyčí, 4 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t66x1;Osteosyntéza chrbtice, ostatné: 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t66x2;Osteosyntéza chrbtice, ostatné: 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t66x3;Osteosyntéza chrbtice, ostatné: 3 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t66x4;Osteosyntéza chrbtice, ostatné: 4 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t69x1;HALO fixácia chrbtice;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t69x2;Odstránenie osteosyntetického materiálu z chrbtice;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5t69x4;Revízia po operácii chrbtice;Paliatívna chirurgická liečba nádorov chrbtice - C0-C7;S55-06;mSTA;C0-C7
5a90301;Dorzálny prístup k hrudnej chrbtici, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90302;Dorzálny prístup k hrudnej chrbtici, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90303;Dorzálny prístup k hrudnej chrbtici, 3 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90311;Laminotómia hrudnej chrbtice, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90312;Laminotómia hrudnej chrbtice, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90313;Laminotómia hrudnej chrbtice, 3 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90321;Hemilaminektómia hrudnej chrbtice, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90322;Hemilaminektómia hrudnej chrbtice, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90323;Hemilaminektómia hrudnej chrbtice, 3 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90331;Laminektómia hrudnej chrbtice, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90332;Laminektómia hrudnej chrbtice, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90333;Laminektómia hrudnej chrbtice, 3 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a903x;Iný prístup k hrudnej chrbtici;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90401;Dorzálny prístup k bedrovej chrbtici, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90402;Dorzálny prístup k bedrovej chrbtici, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90403;Dorzálny prístup k bedrovej chrbtici, 3 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90411;Laminotómia bedrovej chrbtice, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90412;Laminotómia bedrovej chrbtice, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90413;Laminotómia bedrovej chrbtice, 3 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90421;Hemilaminektómia bedrovej chrbtice, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90422;Hemilaminektómia bedrovej chrbtice, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90423;Hemilaminektómia bedrovej chrbtice, 3 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90431;Laminektómia bedrovej chrbtice, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90432;Laminektómia bedrovej chrbtice, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90433;Laminektómia bedrovej chrbtice, 3 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90441;Flavektómia bedrovej chrbtice, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90442;Flavektómia bedrovej chrbtice, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90443;Flavektómia bedrovej chrbtice, 3 a viac segmentov;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90451;Transperitoneálny prístup k bedrovej chrbtici;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90452;Dorzolaterálny prístup k bedrovej chrbtici;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90453;Retroperitoneálny prístup k bedrovej chrbtici;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a90455;Kombinácia torako-retroperitoneálne-retroperitoneálneho prístupu;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5a904x;Iný prístup k bedrovej chrbtici;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5t6211;Parciálna excízia tela stavca chrbtice, 1 segment;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
5t6212;Parciálna excízia tela stavca chrbtice, 2 segmenty;Paliatívna chirurgická liečba nádorov chrbtice - T1-L5;S55-07;mSTA;T1-L5
