skupina_diagnoz;kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy;kod_markera;hodnota_markera;kod_ms;nazov_ms
Diagnózy v pracovnom lekárstve;w907;Poškodenie iným neionizujúcim žiarením - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w908;Poškodenie iným neionizujúcim žiarením - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w909;Poškodenie iným neionizujúcim žiarením - MU: Nešpecifikované miesto;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w913;Poškodenie bližšie neurčeným typom žiarenia - MU: Športové a atletické priestranstvo;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w914;Poškodenie bližšie neurčeným typom žiarenia - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w915;Poškodenie bližšie neurčeným typom žiarenia - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w916;Poškodenie bližšie neurčeným typom žiarenia - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w917;Poškodenie bližšie neurčeným typom žiarenia - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w918;Poškodenie bližšie neurčeným typom žiarenia - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w919;Nehoda s vystavením žiareniu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w924;Poškodenie nadmernou horúčavou umelého pôvodu - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w925;Poškodenie nadmernou horúčavou umelého pôvodu - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w926;Poškodenie nadmernou horúčavou umelého pôvodu - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w927;Poškodenie nadmernou horúčavou umelého pôvodu - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w928;Poškodenie nadmernou horúčavou umelého pôvodu - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w929;Nehoda s vystavením nadmernej horúčave umelého pôvodu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w934;Poškodenie nadmerným chladom umelého pôvodu - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w935;Poškodenie nadmerným chladom umelého pôvodu - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w936;Poškodenie nadmerným chladom umelého pôvodu - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w937;Poškodenie nadmerným chladom umelého pôvodu - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w938;Poškodenie nadmerným chladom umelého pôvodu - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w939;Nehoda s vystavením nadmernému chladu umelého pôvodu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w944;Poškodenie vysokým a nízkym tlakom vzduchu a zmenami tlaku vzduchu - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w945;Poškodenie vysokým a nízkym tlakom vzduchu a zmenami tlaku vzduchu - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w946;Poškodenie vysokým a nízkym tlakom vzduchu a zmenami tlaku vzduchu - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w947;Poškodenie vysokým a nízkym tlakom vzduchu a zmenami tlaku vzduchu - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w948;Poškodenie vysokým a nízkym tlakom vzduchu a zmenami tlaku vzduchu - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w949;Nehoda s vystavením zmenám tlaku vzduchu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w994;Poškodenie inými a bližšie neurčenými umelými činiteľmi prostredia - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w995;Poškodenie inými a bližšie neurčenými umelými činiteľmi prostredia - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w996;Poškodenie inými a bližšie neurčenými umelými činiteľmi prostredia - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w997;Poškodenie inými a bližšie neurčenými umelými činiteľmi prostredia - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w998;Poškodenie inými a bližšie neurčenými umelými činiteľmi prostredia - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;w999;Poškodenie inými a bližšie neurčenými umelými činiteľmi prostredia - MU: Nešpecifikované miesto;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x304;Poškodenie nadmernou prirodzenou horúčavou - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x305;Poškodenie nadmernou prirodzenou horúčavou - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x306;Poškodenie nadmernou prirodzenou horúčavou - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x307;Poškodenie nadmernou prirodzenou horúčavou - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x308;Poškodenie nadmernou prirodzenou horúčavou - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x309;Poškodenie nadmernou prirodzenou horúčavou - MU: Nešpecifikované miesto;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x314;Poškodenie nadmerným prirodzeným chladom - MU: Ulica a cesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x315;Poškodenie nadmerným prirodzeným chladom - MU: Obchod a služby;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x316;Poškodenie nadmerným prirodzeným chladom - MU: Priemyselné objekty;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x317;Poškodenie nadmerným prirodzeným chladom - MU: Poľnohospodárske;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x318;Poškodenie nadmerným prirodzeným chladom - MU: Iné špecifikované miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;x319;Poškodenie nadmerným prirodzeným chladom - MU: Nešpecifikované miesto;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a020;Salmonelová enteritída;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a022;Lokalizovaná salmonelová infekcia;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a028;Iná salmonelová infekcia, bližšie určená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a060;Akútna amébová dyzentéria;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a061;Chronická črevná amebóza;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a063;Črevný amebóm;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a064;Amébový absces pečene;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a15-;Tuberkulóza dýchacej sústavy bakteriologicky, molekulovobiologicky alebo histologicky potvrdená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a16-;Tuberkulóza dýchacej sústavy nepotvrdená bakteriologicky, molekulovobiologicky alebo histologicky;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a179;Tuberkulóza nervovej sústavy, bližšie neurčená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a180;Tuberkulóza kostí a kĺbov;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a181;Tuberkulóza močovopohlavnej sústavy;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a182;Tuberkulózna periférna lymfadenopatia;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a183;Tuberkulóza čriev, peritonea a mezentériových lymfatických uzlín;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a184;Tuberkulóza kože a podkožného tkaniva;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a185;Tuberkulóza oka;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a186;Tuberkulóza ucha;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a188;Tuberkulóza iných bližšie určených orgánov;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a19-;Miliárna tuberkulóza;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a210;Ulceroglandulárna tularémia;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a211;Okuloglandulárna tularémia;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a212;Pľúcna tularémia;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a213;Gastrointestinálna tularémia;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a217;Generalizovaná tularémia;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a219;Tularémia, bližšie neurčená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a230;Brucelóza zapríčinená Brucella melitensis;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a231;Brucelóza zapríčinená Brucella abortus;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a232;Brucelóza zapríčinená Brucella suis;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a233;Brucelóza zapríčinená Brucella canis;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a238;Iná brucelóza;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a268;Iná forma eryzipeloidu;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a270;Leptospiróza zapríčinená Leptospira icterohaemorrhagiae [Weilova choroba];mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a278;Iná forma leptospirózy;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a282;Extraintestinálna yersinióza;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a288;Iná baktériová zoonóza, bližšie určená, nezatriedená inde;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a320;Kožná listerióza;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a328;Iná forma listeriózy;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a692-;Lymská choroba;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a841;Stredoeurópska kliešťová encefalitída;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a848;Iná vírusová encefalitída prenášaná kliešťami;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;a849;Vírusová encefalitída prenášaná kliešťami, bližšie neurčená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;b18-;Chronická vírusivá hepatitída;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;b208;Choroba HIV s následnými inými infekčnými a parazitovými chorobami bližšie určenými;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;b227;Choroba HIV s následnými rozličnými chorobami zatriedenými inde;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;b342;Koronavírusová infekcia bez bližšieho určenia miesta;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;b50-;Malária zapríčinená Plasmodium falciparum;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;b51-;Malária zapríčinená Plasmodium vivax;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;b52-;Malária zapríčinená Plasmodium malariae;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;b53-;Iná parazitologicky potvrdená malária;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;b54;Malária, bližšie neurčená;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;b86;Scabies;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;b948;Následky iných bližšie určených infekčných a parazitových chorôb;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;b949;Následky bližšie neurčených infekčných alebo parazitových chorôb;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;u071;Potvrdená infekcia COVID-19;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;u072;Podozrenie z infekcie COVID-19;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;u073;Potvrdená infekcia COVID-19 PCR testom;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;u074;Potvrdená infekcia COVID-19 Ag testom;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;u080;Osobná anamnéza COVID-19;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;u100;Multisystémový zápalový syndróm v časovom vzťahu ku COVID-19;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;u109;Multisystémový zápalový syndróm v časovom vzťahu ku COVID-19, bližšie neurčený;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;g622;Polyneuropatia zapríčinená inými toxickými látkami;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;g701;Toxická nervovosvalová choroba;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;m1009;Idiopatická dna, miesto bližšie neurčené;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;n141;Nefropatia zapríčinená liečivami, liekmi alebo biologickými látkami;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;n142;Nefropatia zapríčinená bližšie neurčeným liečivom, liekom alebo biologickou látkou;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;n143;Nefropatia zapríčinená ťažkými kovmi;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
Diagnózy v pracovnom lekárstve;n144;Toxická nefropatia, nezatriedená inde;mODB;006;S36-08;Diferenciálna diagnostika, liečba a komplexný manažment ochorení z fyzikálnych, chemických, biologických a iných faktorov v pracovnom lekárstve
