kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy;kod_ms;nazov_ms
d508;Iná anémia z nedostatku železa;S70-56;Nutričné anémie
d509;Bližšie neurčená anémia z nedostatku železa;S70-56;Nutričné anémie
d510;Anémia z nedostatku vitamínu B12 zapríčinená nedostatkom vnútorného faktora;S70-56;Nutričné anémie
d511;Anémia z nedostatku vitamínu B12 zapríčinená selektívnou malabsorpciou vitamínu B12 s proteinúriou;S70-56;Nutričné anémie
d512;Anémia z nedostatku transkobalamínu II;S70-56;Nutričné anémie
d513;Iná anémia z nedostatku vitamínu B12 v potrave;S70-56;Nutričné anémie
d518;Iná anémia z nedostatku vitamínu B12;S70-56;Nutričné anémie
d519;Bližšie neurčená anémia z nedostatku vitamínu B12;S70-56;Nutričné anémie
d520;Anémia z nedostatku kyseliny listovej v potrave;S70-56;Nutričné anémie
d521;Anémia z nedostatku kyseliny listovej zapríčinená liekmi;S70-56;Nutričné anémie
d528;Iná anémia z nedostatku kyseliny listovej;S70-56;Nutričné anémie
d529;Anémia z nedostatku kyseliny listovej, bližšie neurčená;S70-56;Nutričné anémie
d530;Anémia z nedostatku bielkovín;S70-56;Nutričné anémie
d531;Iná megaloblastová anémia, nezatriedená inde;S70-56;Nutričné anémie
d532;Skorbutová anémia;S70-56;Nutričné anémie
d538;Iná bližšie určená nutričná anémia;S70-56;Nutričné anémie
d539;Bližšie neurčená nutričná anémia;S70-56;Nutričné anémie
d550;Anémia zapríčinená nedostatočnou aktivitou glukóza-6-fosfát-dehydrogenázy;S70-50;Hemolytická anémia
d551;Anémia zapríčinená inou poruchou metabolizmu glutatiónu;S70-50;Hemolytická anémia
d552;Anémia zapríčinená poruchou enzýmov glykolýzy;S70-50;Hemolytická anémia
d553;Anémia zapríčinená poruchou metabolizmu nukleotidov;S70-50;Hemolytická anémia
d558;Iná anémia zapríčinená poruchou enzýmov;S70-50;Hemolytická anémia
d559;Anémia zapríčinená poruchou enzýmov, bližšie neurčená;S70-50;Hemolytická anémia
d560;Alfa-talasémia;S70-50;Hemolytická anémia
d561;Beta-talasémia;S70-50;Hemolytická anémia
d562;Delta-beta-talasémia;S70-50;Hemolytická anémia
d563;Talasemická črta;S70-50;Hemolytická anémia
d564;Dedičné pretrvávanie fetálneho hemoglobínu;S70-50;Hemolytická anémia
d568;Iná talasémia;S70-50;Hemolytická anémia
d569;Talasémia, bližšie neurčená;S70-50;Hemolytická anémia
d570;Kosáčikovitá anémia s krízou;S70-37;Vysoko komplexné hematologické ochorenia
d571;Kosáčikovitá anémia bez krízy;S70-50;Hemolytická anémia
d572;Zdvojená heterozygotná kosáčikovitá choroba;S70-50;Hemolytická anémia
d573;Kosáčikovitá črta;S70-50;Hemolytická anémia
d578;Iná kosáčikovitá porucha;S70-50;Hemolytická anémia
d580;Dedičná sférocytóza;S70-50;Hemolytická anémia
d581;Dedičná eliptocytóza;S70-50;Hemolytická anémia
d582;Iná hemoglobinopatia;S70-50;Hemolytická anémia
d588;Iná dedičná hemolytická anémia, bližšie určená;S70-50;Hemolytická anémia
d589;Dedičná hemolytická anémia, bližšie neurčená;S70-50;Hemolytická anémia
d590;Autoimunitná hemolytická anémia zapríčinená liekmi;S70-50;Hemolytická anémia
d591;Iná autoimunitná hemolytická anémia;S70-50;Hemolytická anémia
d592;Neautoimunitná hemolytická anémia zapríčinená liekmi;S70-50;Hemolytická anémia
d593;Hemolyticko-uremický syndróm;S68-06;Ochorenia a poruchy močových orgánov IV
d594;Iná neautoimunitná hemolytická anémia;S70-50;Hemolytická anémia
d595;Paroxyzmálna nočná hemoglobinúria;S70-37;Vysoko komplexné hematologické ochorenia
d596;Hemoglobinúria zapríčinená hemolýzou z iných vonkajších príčin;S70-50;Hemolytická anémia
d598;Iná získaná hemolytická anémia;S70-50;Hemolytická anémia
d599;Získaná hemolytická anémia, bližšie neurčená;S70-50;Hemolytická anémia
d600;Chronická získaná čistá aplázia červených krviniek;S70-54;Poruchy leukocytov a iné  hematologické ochorenia I
d601;Prechodná získaná čistá aplázia červených krviniek;S70-54;Poruchy leukocytov a iné  hematologické ochorenia I
d608;Iná získaná čistá aplázia červených krviniek;S70-54;Poruchy leukocytov a iné  hematologické ochorenia I
d609;Získaná čistá aplázia červených krviniek, bližšie neurčená;S70-54;Poruchy leukocytov a iné  hematologické ochorenia I
d610;Vrodená aplastická anémia;S70-48;Idiopatická aplastická anémia, ťažká a veľmi ťažká forma
d6110;Aplastická anémia zapríčinená cytostatickou liečbou;S70-52;Iné choroby krvi a krvotvorných orgánov
d6118;Iná aplastická anémia zapríčinená liekmi;S70-48;Idiopatická aplastická anémia, ťažká a veľmi ťažká forma
d6119;Aplastická anémia zapríčinená liekmi, bližšie neurčená;S70-48;Idiopatická aplastická anémia, ťažká a veľmi ťažká forma
d612;Aplastická anémia z iných vonkajších príčin;S70-48;Idiopatická aplastická anémia, ťažká a veľmi ťažká forma
d613;Idiopatická aplastická anémia;S70-48;Idiopatická aplastická anémia, ťažká a veľmi ťažká forma
d618;Iná aplastická anémia, bližšie určená;S70-48;Idiopatická aplastická anémia, ťažká a veľmi ťažká forma
d619;Aplastická anémia, bližšie neurčená;S70-48;Idiopatická aplastická anémia, ťažká a veľmi ťažká forma
d62;Akútna posthemoragická anémia;S70-52;Iné choroby krvi a krvotvorných orgánov
d640;Dedičná sideroblastová [sideroachrestická] anémia;S70-54;Poruchy leukocytov a iné  hematologické ochorenia I
d641;Sekundárna sideroblastová [sideroachrestická] anémia zapríčinená ochorením;S70-54;Poruchy leukocytov a iné  hematologické ochorenia I
d642;Sekundárna sideroblastová [sideroachrestická] anémia zapríčinená liekmi a toxickými látkami;S70-52;Iné choroby krvi a krvotvorných orgánov
d643;Iná sideroblastová [sideroachrestická] anémia;S70-54;Poruchy leukocytov a iné  hematologické ochorenia I
d644;Vrodená dyserytropoetická anémia;S70-54;Poruchy leukocytov a iné  hematologické ochorenia I
d648;Iná bližšie určená anémia;S70-55;Iné anémie
d649;Anémia, bližšie neurčená;S70-55;Iné anémie
d650;Získaná afibrinogenémia;S70-52;Iné choroby krvi a krvotvorných orgánov
d651;Diseminovaná intravaskulárna koagulácia [DIK, DIC];S70-58;Získané poruchy hemostázy
d652;Získané fibrinolytické krvácanie;S70-58;Získané poruchy hemostázy
d659;Bližšie neurčený defibrinačný syndróm;S70-58;Získané poruchy hemostázy
d66;Dedičný nedostatok faktora VIII;S70-60;Vrodené koagulopatie - základná hemostatická liečba, komplexná liečba pri operácii s vitálnou indikáciou
d67;Dedičný nedostatok faktora IX;S70-60;Vrodené koagulopatie - základná hemostatická liečba, komplexná liečba pri operácii s vitálnou indikáciou
d680;Von Willebrandova choroba;S70-60;Vrodené koagulopatie - základná hemostatická liečba, komplexná liečba pri operácii s vitálnou indikáciou
d681;Dedičný nedostatok faktora XI;S70-60;Vrodené koagulopatie - základná hemostatická liečba, komplexná liečba pri operácii s vitálnou indikáciou
d682;Dedičný nedostatok iných koagulačných faktorov;S70-60;Vrodené koagulopatie - základná hemostatická liečba, komplexná liečba pri operácii s vitálnou indikáciou
d6830;Stav krvácavosti zapríčinený antikoagulanciami;S70-52;Iné choroby krvi a krvotvorných orgánov
d6831;Stav krvácavosti zapríčinený zvýšením protilátok proti faktoru VIII;S70-33;Získaná hemofília
d6832;Stav krvácavosti zapríčinený zvýšením plazmatickej koncentrácie protilátok proti iným faktorom zrážania krvi;S70-33;Získaná hemofília
d6838;Iný stav krvácavosti zapríčinený inými a bližšie neurčenými protilátkami;S70-59;Poruchy leukocytov a iné  hematologické ochorenia II
d684;Získaný nedostatok koagulačného faktora;S70-58;Získané poruchy hemostázy
d685;Primárny trombofilný stav (trombofília);S70-53;Trombofilný stav (vrodený, získaný) 
d686;Iný trombofilný stav (trombofília);S70-53;Trombofilný stav (vrodený, získaný) 
d688;Iná porucha zrážanlivosti krvi, bližšie určená;S70-58;Získané poruchy hemostázy
d689;Porucha zrážanlivosti krvi, bližšie neurčená;S70-58;Získané poruchy hemostázy
d690;Alergická purpura;S69-08;Benígne systémové vaskulitídy (IgA vaskulitída)
d691;Kvalitatívna porucha doštičiek;S70-49;Vrodené trombocytopatie klinicky závažné 
d692;Iná netrombocytopenická purpura;S70-58;Získané poruchy hemostázy
d693;Idiopatická trombocytopenická purpura;S70-47;Trombocytopénie a trombocytopatie II
d6940;Iná primárna trombocytopénia nereagujúca na transfúznu liečbu;S70-37;Vysoko komplexné hematologické ochorenia
d6941;Iná primárna trombocytopénia reagujúca na transfúznu liečbu;S70-47;Trombocytopénie a trombocytopatie II
d6952;Trombocytopénia indukovaná heparínom, typ I;S70-41;Trombocytopénie a trombocytopatie I
d6953;Trombocytopénia zapríčinená heparínom, typ II;S70-41;Trombocytopénie a trombocytopatie I
d6957;Iná sekundárna trombocytopénia, označená ako refraktérna na transfúznu liečbu;S70-52;Iné choroby krvi a krvotvorných orgánov
d6958;Iná sekundárna trombocytopénia, neoznačená ako refraktérna na transfúznu liečbu;S70-52;Iné choroby krvi a krvotvorných orgánov
d6959;Sekundárna trombocytopénia, bližšie neurčená;S70-57;Trombocytopénie a trombocytopatie III
d6960;Trombocytopénia, bližšie neurčená, označená ako refraktérna na transfúznu liečbu;S70-59;Poruchy leukocytov a iné  hematologické ochorenia II
d6961;Trombocytopénia, bližšie neurčená, neoznačená ako refraktérna na transfúznu liečbu;S70-57;Trombocytopénie a trombocytopatie III
d698;Iný stav krvácavosti, bližšie určený;S70-52;Iné choroby krvi a krvotvorných orgánov
d699;Stav krvácavosti, bližšie neurčený;S70-52;Iné choroby krvi a krvotvorných orgánov
d700;Vrodená agranulocytóza a neutropénia;S70-37;Vysoko komplexné hematologické ochorenia
d7010;Agranulocytóza a neutropénia zapríčinená liekmi, s kritickou fázou v trvaní 3 dni a menej;S70-51;Podporná liečba pri hematologickom a hematoonkologickom ochorení (febrilná neutropénia, paliatívna chemoterapia a iné)
d7011;Agranulocytóza a neutropénia zapríčinená liekmi, s kritickou fázou v trvaní 10 až 19 dní;S70-51;Podporná liečba pri hematologickom a hematoonkologickom ochorení (febrilná neutropénia, paliatívna chemoterapia a iné)
d7012;Agranulocytóza a neutropénia zapríčinená liekmi, s kritickou fázou v trvaní 20 a viac dní;S70-51;Podporná liečba pri hematologickom a hematoonkologickom ochorení (febrilná neutropénia, paliatívna chemoterapia a iné)
d7013;Agranulocytóza a neutropénia zapríčinená liekmi, s kritickou fázou v trvaní 4 až 6 dní;S70-51;Podporná liečba pri hematologickom a hematoonkologickom ochorení (febrilná neutropénia, paliatívna chemoterapia a iné)
d7014;Agranulocytóza a neutropénia zapríčinená liekmi, s kritickou fázou v trvaní 7 až 9 dní;S70-51;Podporná liečba pri hematologickom a hematoonkologickom ochorení (febrilná neutropénia, paliatívna chemoterapia a iné)
d7018;Agranulocytóza a neutropénia zapríčinená liekmi s iným priebehom;S70-51;Podporná liečba pri hematologickom a hematoonkologickom ochorení (febrilná neutropénia, paliatívna chemoterapia a iné)
d7019;Agranulocytóza a neutropénia zapríčinená liekmi, bližšie neurčená;S70-51;Podporná liečba pri hematologickom a hematoonkologickom ochorení (febrilná neutropénia, paliatívna chemoterapia a iné)
d703;Iná agranulocytóza;S70-59;Poruchy leukocytov a iné  hematologické ochorenia II
d705;Cyklická neutropénia;S70-37;Vysoko komplexné hematologické ochorenia
d706;Iná neutropénia;S70-59;Poruchy leukocytov a iné  hematologické ochorenia II
d707;Neutropénia, bližšie neurčená;S70-54;Poruchy leukocytov a iné  hematologické ochorenia I
d71;Funkčná porucha polymorfonukleárnych neutrofilov;S70-54;Poruchy leukocytov a iné  hematologické ochorenia I
d720;Genetická anomália leukocytov;S70-54;Poruchy leukocytov a iné  hematologické ochorenia I
d721;Eozinofília;S70-52;Iné choroby krvi a krvotvorných orgánov
d728;Iná bližšie určená porucha leukocytov;S70-59;Poruchy leukocytov a iné  hematologické ochorenia II
d729;Porucha leukocytov, bližšie neurčená;S70-59;Poruchy leukocytov a iné  hematologické ochorenia II
d730;Hyposplenizmus;S63-09;Ochorenia retikuloendoteliálneho systému, imunitného systému a poruchy zrážania krvi II
d731;Hypersplenizmus;S63-09;Ochorenia retikuloendoteliálneho systému, imunitného systému a poruchy zrážania krvi II
d732;Chronická kongestívna splenomegália;S63-09;Ochorenia retikuloendoteliálneho systému, imunitného systému a poruchy zrážania krvi II
d733;Absces sleziny;S63-09;Ochorenia retikuloendoteliálneho systému, imunitného systému a poruchy zrážania krvi II
d734;Cysta sleziny;S63-09;Ochorenia retikuloendoteliálneho systému, imunitného systému a poruchy zrážania krvi II
d735;Infarkt sleziny;S63-09;Ochorenia retikuloendoteliálneho systému, imunitného systému a poruchy zrážania krvi II
d738;Iná choroba sleziny;S63-09;Ochorenia retikuloendoteliálneho systému, imunitného systému a poruchy zrážania krvi II
d739;Choroba sleziny, bližšie neurčená;S70-59;Poruchy leukocytov a iné  hematologické ochorenia II
d740;Vrodená methemoglobinémia;S70-54;Poruchy leukocytov a iné  hematologické ochorenia I
d748;Iná methemoglobinémia;S70-54;Poruchy leukocytov a iné  hematologické ochorenia I
d749;Methemoglobinémia, bližšie neurčená;S70-52;Iné choroby krvi a krvotvorných orgánov
d750;Familiárna erytrocytóza;S70-52;Iné choroby krvi a krvotvorných orgánov
d751;Sekundárna polyglobúlia [polycytémia];S70-52;Iné choroby krvi a krvotvorných orgánov
d758;Iná bližšie určená choroba krvi a krvotvorných orgánov;S70-59;Poruchy leukocytov a iné  hematologické ochorenia II
d759;Choroba krvi a krvotvorných orgánov, bližšie neurčená;S70-54;Poruchy leukocytov a iné  hematologické ochorenia I
d761;Hemofagocytová lymfohistiocytóza;S70-36;Agresívne lymfómy (NHL) Hodgkinov lymfóm a iné vybrané 
d762;Hemofagocytový syndróm spojený s infekciou;S63-10;Vrodené metabolické poruchy I
d763;Iný syndróm histiocytózy;S70-36;Agresívne lymfómy (NHL) Hodgkinov lymfóm a iné vybrané 
d800;Dedičná hypogamaglobulinémia;S72-03;Kombinovaný imunodeficit a závažné ochorenia imunitného systému
d801;Nefamiliárna hypogamaglobulinémia;S72-05;Komplexné ochorenia imunitného systému
d802;Selektívny nedostatok imunoglobulínu A [IgA];S72-07;Ochorenia imunitného systému
d803;Selektívny nedostatok podtried imunoglobulínu G [IgG];S72-07;Ochorenia imunitného systému
d804;Selektívny nedostatok imunoglobulínu M [IgM];S72-07;Ochorenia imunitného systému
d805;Imunodeficit so zvýšeným imunoglobulínu M [IgM];S72-02;Vysoko komplexné ochorenia imunitného systému
d806;Deficit protilátok s takmer normálnymi imunoglobulínmi alebo s hyperimunoglobulinémiou;S72-05;Komplexné ochorenia imunitného systému
d807;Prechodná hypogamaglobulinémia v detstve;S72-07;Ochorenia imunitného systému
d808;Iný imunodeficit s prevahou nedostatku protilátok;S72-02;Vysoko komplexné ochorenia imunitného systému
d809;Bližšie neurčený imunodeficit s prevahou nedostatku protilátok;S72-02;Vysoko komplexné ochorenia imunitného systému
d810;Ťažký kombinovaný imunodeficit [SCID] s retikulovou dysgenézou;S72-02;Vysoko komplexné ochorenia imunitného systému
d811;Ťažký kombinovaný imunodeficit [SCID] s malým počtom T-buniek a B-buniek;S72-02;Vysoko komplexné ochorenia imunitného systému
d812;Ťažký kombinovaný imunodeficit [SCID] s malým alebo normálnym počtom B-buniek;S72-02;Vysoko komplexné ochorenia imunitného systému
d813;Deficit adenozíndezaminázy [ADA];S63-02;Vrodené metabolické poruchy II
d814;Nezelofov syndróm;S72-02;Vysoko komplexné ochorenia imunitného systému
d815;Nedostatok purínnukleozid-fosforylázy [PNP];S63-02;Vrodené metabolické poruchy II
d816;Defekt hlavného komplexu histokompatibility I. triedy;S72-02;Vysoko komplexné ochorenia imunitného systému
d817;Defekt hlavného komplexu histokompatibility II. triedy;S72-02;Vysoko komplexné ochorenia imunitného systému
d818;Iný kombinovaný imunodeficit;S72-03;Kombinovaný imunodeficit a závažné ochorenia imunitného systému
d819;Kombinovaný imunodeficit, bližšie neurčený;S72-03;Kombinovaný imunodeficit a závažné ochorenia imunitného systému
d820;Wiskottov-Aldrichov syndróm;S72-02;Vysoko komplexné ochorenia imunitného systému
d821;Di Georgeov syndróm;S72-02;Vysoko komplexné ochorenia imunitného systému
d822;Imunodeficit spojený s disproporčným malým vzrastom;S72-02;Vysoko komplexné ochorenia imunitného systému
d823;Imunodeficit spojený s vrodenou defektnou odpoveďou na Epsteinov-Barrovej vírus;S72-02;Vysoko komplexné ochorenia imunitného systému
d824;Syndróm nadbytku imunoglobulínu E [IgE];S72-02;Vysoko komplexné ochorenia imunitného systému
d828;Imunodeficit spojený s inými ťažkými poruchami, bližšie určenými;S72-03;Kombinovaný imunodeficit a závažné ochorenia imunitného systému
d829;Imunodeficit spojený s ťažkou poruchou, bližšie neurčenou;S72-03;Kombinovaný imunodeficit a závažné ochorenia imunitného systému
d830;Bežný premenlivý imunodeficit s prevahou abnormalít v počte a funkcii B-buniek;S72-04;Závažná protilátková porucha imunity
d831;Bežný premenlivý imunodeficit s prevažujúcimi poruchami imunoregulačných T-buniek;S72-04;Závažná protilátková porucha imunity
d832;Bežný premenlivý imunodeficit s autoprotilátkami proti B-bunkám alebo T-bunkám;S72-04;Závažná protilátková porucha imunity
d838;Iný bežný premenlivý imunodeficit;S72-04;Závažná protilátková porucha imunity
d839;Bežný premenlivý imunodeficit, bližšie neurčený;S72-04;Závažná protilátková porucha imunity
d840;Porucha lymfocytového funkčného antigénu 1[LFA-1];S72-03;Kombinovaný imunodeficit a závažné ochorenia imunitného systému
d841;Porucha komplementového systému;S72-02;Vysoko komplexné ochorenia imunitného systému
d848;Iný imunodeficit, bližšie určený;S72-05;Komplexné ochorenia imunitného systému
d849;Imunodeficit, bližšie neurčený;S72-05;Komplexné ochorenia imunitného systému
d860;Sarkoidóza pľúc;S65-05;Intersticiálna choroba pľúc
d861;Sarkoidóza lymfatických uzlín;S65-05;Intersticiálna choroba pľúc
d862;Sarkoidóza pľúc so sarkoidózou lymfatických uzlín;S65-05;Intersticiálna choroba pľúc
d863;Sarkoidóza kože;S61-01;Závažné ochorenia kože
d868;Sarkoidóza na iných a viacerých miestach;S65-05;Intersticiálna choroba pľúc
d869;Sarkoidóza, bližšie neurčená;S65-05;Intersticiálna choroba pľúc
d890;Polyklonálna hypergamaglobulinémia;S72-05;Komplexné ochorenia imunitného systému
d891;Kryoglobulinémia;S70-31;Lymfóm a neakútna leukémia
d892;Hypergamaglobulinémia, bližšie neurčená;S72-05;Komplexné ochorenia imunitného systému
d893;Syndróm imunitnej obnovy;S72-05;Komplexné ochorenia imunitného systému
d898;Iná porucha s účasťou imunitných mechanizmov, bližšie určená, nezatriedená inde;S72-05;Komplexné ochorenia imunitného systému
d899;Porucha s účasťou imunitných mechanizmov, bližšie neurčená;S72-05;Komplexné ochorenia imunitného systému
d90;Imunodeficit po ožiarení, po chemoterapii a po iných imunosupresívnych výkonoch;S72-02;Vysoko komplexné ochorenia imunitného systému
e000;Vrodený syndróm z nedostatku jódu, neurologický typ;S67-03;Vysoko komplexné endokrinopatie
e001;Vrodený syndróm z nedostatku jódu, myxedémový typ;S67-03;Vysoko komplexné endokrinopatie
e002;Vrodený syndróm z nedostatku jódu, zmiešaný typ;S67-03;Vysoko komplexné endokrinopatie
e009;Vrodený syndróm z nedostatku jódu, bližšie neurčený;S67-03;Vysoko komplexné endokrinopatie
e010;Difúzna struma zapríčinená nedostatkom jódu (endemická);S67-08;Endokrinopatie
e011;Viacuzlová struma zapríčinená nedostatkom jódu (endemická);S67-08;Endokrinopatie
e012;Struma zapríčinená nedostatkom jódu (endemická), bližšie neurčená;S67-08;Endokrinopatie
e018;Iná choroba štítnej žľazy spojená s nedostatkom jódu a pridružené stavy;S67-08;Endokrinopatie
e02;Subklinická hypotyreóza z nedostatku jódu;S67-08;Endokrinopatie
e030;Vrodená hypotyreóza s difúznou strumou;S67-03;Vysoko komplexné endokrinopatie
e031;Vrodená hypotyreóza bez strumy;S67-03;Vysoko komplexné endokrinopatie
e032;Hypotyreóza zapríčinená liekmi a inými látkami exogénneho pôvodu;S67-03;Vysoko komplexné endokrinopatie
e033;Poinfekčná hypotyreóza;S67-08;Endokrinopatie
e034;Získaná atrofia štítnej žľazy;S67-08;Endokrinopatie
e035;Myxedémová kóma;S73-28;Stupor a kóma netraumatického pôvodu
e038;Iná hypotyreóza, bližšie určená;S67-08;Endokrinopatie
e039;Hypotyreóza, bližšie neurčená;S67-08;Endokrinopatie
e040;Netoxická difúzna struma;S67-08;Endokrinopatie
e041;Netoxický solitárny uzol štítnej žľazy;S67-03;Vysoko komplexné endokrinopatie
e042;Netoxická viacuzlová struma;S67-03;Vysoko komplexné endokrinopatie
e048;Iná netoxická struma, bližšie určená;S67-08;Endokrinopatie
e049;Netoxická struma, bližšie neurčená;S67-08;Endokrinopatie
e050;Hypertyreóza s difúznou strumou;S67-08;Endokrinopatie
e051;Hypertyreóza s jedným toxickým tyreoidálnym uzlom;S67-08;Endokrinopatie
e052;Hypertyreóza s toxickou viacuzlovou strumou;S67-08;Endokrinopatie
e053;Hypertyreóza zapríčinená ektopickým tkanivom štítnej žľazy;S67-08;Endokrinopatie
e054;Hypertyreóza zapríčinená umelo [Hyperthyreosis factitia];S67-08;Endokrinopatie
e055;Tyreotoxická kríza;S67-03;Vysoko komplexné endokrinopatie
e058;Iná hypertyreóza;S67-08;Endokrinopatie
e059;Hypertyreóza, bližšie neurčená;S67-08;Endokrinopatie
e060;Akútna tyreoiditída;S67-08;Endokrinopatie
e061;Subakútna tyreoiditída;S67-08;Endokrinopatie
e062;Chronická tyreoiditída s prechodnou hypertyreózou;S67-08;Endokrinopatie
e063;Autoimunitná tyreoiditída;S67-08;Endokrinopatie
e064;Tyreoiditída zapríčinená liekom;S67-08;Endokrinopatie
e065;Iná chronická tyreoiditída;S67-08;Endokrinopatie
e069;Tyreoiditída, bližšie neurčená;S67-08;Endokrinopatie
e070;Hypersekrécia kalcitonínu (Medulárny karcinóm);S67-03;Vysoko komplexné endokrinopatie
e071;Dyshormonogénna struma (hrvoľ);S67-03;Vysoko komplexné endokrinopatie
e078;Iná choroba štítnej žľazy, bližšie určená;S67-08;Endokrinopatie
e079;Choroba štítnej žľazy, bližšie neurčená;S67-08;Endokrinopatie
e1001;Diabetes mellitus 1. typu: s kómou, dekompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
e1011;Diabetes mellitus 1. typu: s ketoacidózou, dekompenzovaný;S67-07;Diabetes mellitus
e1020;Diabetes mellitus 1. typu: s obličkovými komplikáciami, kompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
e1021;Diabetes mellitus 1. typu: s obličkovými komplikáciami, dekompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
e1030;Diabetes mellitus 1. typu: s očnými komplikáciami, kompenzovaný;S62-47;Endokrinne podmienené ochorenia očí
e1031;Diabetes mellitus 1. typu: s očnými komplikáciami, dekompenzovaný;S62-47;Endokrinne podmienené ochorenia očí
e1040;Diabetes mellitus 1. typu: s nervovými komplikáciami, kompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
e1041;Diabetes mellitus 1. typu: s nervovými komplikáciami, dekompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
e1050;Diabetes mellitus 1. typu: s periférnymi cievnymi komplikáciami, kompenzovaný;S64-26;Periférne ochorenia ciev
e1051;Diabetes mellitus 1. typu: s periférnymi cievnymi komplikáciami, dekompenzovaný;S64-26;Periférne ochorenia ciev
e1060;Diabetes mellitus 1. typu: s inými, bližšie určenými komplikáciami, kompenzovaný;S67-07;Diabetes mellitus
e1061;Diabetes mellitus 1. typu: s inými, bližšie určenými komplikáciami, dekompenzovaný;S67-07;Diabetes mellitus
e1072;Diabetes mellitus 1. typu: s inými, mnohopočetnými komplikáciami, kompenzovaný;S67-07;Diabetes mellitus
e1073;Diabetes mellitus 1. typu: s inými, mnohopočetnými komplikáciami, dekompenzovaný;S67-07;Diabetes mellitus
e1074;Diabetes mellitus 1. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, kompenzovaný;S67-07;Diabetes mellitus
e1075;Diabetes mellitus 1. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, dekompenzovaný;S67-07;Diabetes mellitus
e1080;Diabetes mellitus 1. typu: s bližšie neurčenými komplikáciami, kompenzovaný;S67-07;Diabetes mellitus
e1081;Diabetes mellitus 1. typu: s bližšie neurčenými komplikáciami, dekompenzovaný;S67-07;Diabetes mellitus
e1090;Diabetes mellitus 1. typu: bez komplikácií, kompenzovaný;S67-07;Diabetes mellitus
e1091;Diabetes mellitus 1. typu: bez komplikácií, dekompenzovaný;S67-07;Diabetes mellitus
e1101;Diabetes mellitus 2. typu: s kómou, dekompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
e1111;Diabetes mellitus 2. typu: s ketoacidózou, dekompenzovaný;S67-07;Diabetes mellitus
e1120;Diabetes mellitus 2. typu: s obličkovými komplikáciami, kompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
e1121;Diabetes mellitus 2. typu: s obličkovými komplikáciami, dekompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
e1130;Diabetes mellitus 2. typu: s očnými komplikáciami, kompenzovaný;S62-47;Endokrinne podmienené ochorenia očí
e1131;Diabetes mellitus 2. typu: s očnými komplikáciami, dekompenzovaný;S62-47;Endokrinne podmienené ochorenia očí
e1140;Diabetes mellitus 2. typu: s nervovými komplikáciami, kompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
e1141;Diabetes mellitus 2. typu: s nervovými komplikáciami, dekompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
e1150;Diabetes mellitus 2. typu: s periférnymi cievnymi komplikáciami, kompenzovaný;S64-26;Periférne ochorenia ciev
e1151;Diabetes mellitus 2. typu: s periférnymi cievnymi komplikáciami, dekompenzovaný;S64-26;Periférne ochorenia ciev
e1160;Diabetes mellitus 2. typu: s inými, bližšie určenými komplikáciami, kompenzovaný;S67-07;Diabetes mellitus
e1161;Diabetes mellitus 2. typu: s inými, bližšie určenými komplikáciami, dekompenzovaný;S67-07;Diabetes mellitus
e1172;Diabetes mellitus 2. typu: s inými mnohopočetnými komplikáciami, kompenzovaný;S67-07;Diabetes mellitus
e1173;Diabetes mellitus 2. typu: s inými mnohopočetnými komplikáciami, dekompenzovaný;S67-07;Diabetes mellitus
e1174;Diabetes mellitus 2. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, kompenzovaný;S67-07;Diabetes mellitus
e1175;Diabetes mellitus 2. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, dekompenzovaný;S67-07;Diabetes mellitus
e1180;Diabetes mellitus 2. typu: s bližšie neurčenými komplikáciami, kompenzovaný;S67-07;Diabetes mellitus
e1181;Diabetes mellitus 2. typu: s bližšie neurčenými komplikáciami, dekompenzovaný;S67-07;Diabetes mellitus
e1190;Diabetes mellitus 2. typu: bez komplikácií, kompenzovaný;S67-07;Diabetes mellitus
e1191;Diabetes mellitus 2. typu: bez komplikácií, dekompenzovaný;S67-07;Diabetes mellitus
e1201;Diabetes mellitus spojený s podvýživou: s kómou, dekompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
e1211;Diabetes mellitus spojený s podvýživou: s ketoacidózou, dekompenzovaný;S67-07;Diabetes mellitus
e1220;Diabetes mellitus spojený s podvýživou: s obličkovými komplikáciami, kompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
e1221;Diabetes mellitus spojený s podvýživou: s obličkovými komplikáciami, dekompenzovaný;S67-02;Diabetes mellitus s kómou / s komplikáciami
